cat1,cat_id,trade_rows,sensitivity_units,rank,trade_row_share_pct,cumulative_trade_row_share_pct,segment
28,50023790,49,130,114,0.1634913749958293,78.69940942911478,Head group: first 80% of trade rows
50022520,50026467,49,67,115,0.1634913749958293,78.86290080411061,Head group: first 80% of trade rows
28,50012475,48,57,116,0.16015481632244505,79.02305562043306,Head group: first 80% of trade rows
50014815,50012549,48,186,117,0.16015481632244505,79.1832104367555,Head group: first 80% of trade rows
28,121404037,47,97,118,0.15681825764906077,79.34002869440457,Head group: first 80% of trade rows
50014815,50001732,47,47,119,0.15681825764906077,79.49684695205363,Head group: first 80% of trade rows
50014815,50012462,47,97,120,0.15681825764906077,79.6536652097027,Head group: first 80% of trade rows
50014815,50012807,47,64,121,0.15681825764906077,79.81048346735176,Head group: first 80% of trade rows
50014815,121478030,47,75,122,0.15681825764906077,79.96730172500082,Head group: first 80% of trade rows
28,203527,46,46,123,0.15348169897567648,80.1207834239765,Head group: first 80% of trade rows
28,50006966,46,62,124,0.15348169897567648,80.27426512295219,Long tail: remaining 20% of trade rows
50014815,50012485,46,71,125,0.15348169897567648,80.42774682192787,Long tail: remaining 20% of trade rows
28,50006957,45,68,126,0.1501451403022922,80.57789196223015,Long tail: remaining 20% of trade rows
28,50019022,44,61,127,0.14680858162890795,80.72470054385906,Long tail: remaining 20% of trade rows
38,50018820,44,62,128,0.14680858162890795,80.87150912548796,Long tail: remaining 20% of trade rows
50022520,50005979,44,44,129,0.14680858162890795,81.01831770711686,Long tail: remaining 20% of trade rows
50022520,121406040,44,44,130,0.14680858162890795,81.16512628874577,Long tail: remaining 20% of trade rows
28,50018860,43,65,131,0.1434720229555237,81.30859831170129,Long tail: remaining 20% of trade rows
38,50016116,43,56,132,0.1434720229555237,81.45207033465681,Long tail: remaining 20% of trade rows
50008168,50007014,43,45,133,0.1434720229555237,81.59554235761233,Long tail: remaining 20% of trade rows
50014815,50018438,43,61,134,0.1434720229555237,81.73901438056785,Long tail: remaining 20% of trade rows
50014815,121434042,43,116,135,0.1434720229555237,81.88248640352337,Long tail: remaining 20% of trade rows
50014815,50012617,42,44,136,0.1401354642821394,82.02262186780551,Long tail: remaining 20% of trade rows
28,50007140,41,64,137,0.13679890560875513,82.15942077341427,Long tail: remaining 20% of trade rows
28,50008845,41,41,138,0.13679890560875513,82.29621967902303,Long tail: remaining 20% of trade rows
38,50016115,41,57,139,0.13679890560875513,82.43301858463178,Long tail: remaining 20% of trade rows
28,50008895,40,53,140,0.13346234693537085,82.56648093156716,Long tail: remaining 20% of trade rows
28,50016006,40,228,141,0.13346234693537085,82.69994327850253,Long tail: remaining 20% of trade rows
28,50023637,40,41,142,0.13346234693537085,82.8334056254379,Long tail: remaining 20% of trade rows
28,50024149,40,74,143,0.13346234693537085,82.96686797237328,Long tail: remaining 20% of trade rows
50014815,50005978,40,40,144,0.13346234693537085,83.10033031930865,Long tail: remaining 20% of trade rows
50014815,50005982,40,42,145,0.13346234693537085,83.23379266624403,Long tail: remaining 20% of trade rows
50014815,50012437,40,57,146,0.13346234693537085,83.3672550131794,Long tail: remaining 20% of trade rows
50022520,50006033,40,50,147,0.13346234693537085,83.50071736011478,Long tail: remaining 20% of trade rows
28,50013175,39,39,148,0.1301257882619866,83.63084314837677,Long tail: remaining 20% of trade rows
50014815,50014273,39,44,149,0.1301257882619866,83.76096893663876,Long tail: remaining 20% of trade rows
